name,artist,album,releaseDate,tags,URL,id
Baby I'm Yours,Arctic Monkeys,Leave Before The Lights Come On,2006-08-14,garage rock,https://p.scdn.co/mp3-preview/0d5a20ec4d3e9367944534d280a4461c67101218?cid=acf0c836dea14da9a440cf55706b4a90,1
Dynamite,BTS,BE,2020-11-20,k-pop,https://p.scdn.co/mp3-preview/98e266fea9df84fa3e5ca84934c513211e89489b?cid=acf0c836dea14da9a440cf55706b4a90,2
Mood,Asake,Lungu Boy,2024-08-08,afrobeats,https://p.scdn.co/mp3-preview/22c0221a59ad81ecfb50af3022ddacebd406c44a?cid=acf0c836dea14da9a440cf55706b4a90,3
Blinding Lights,The Weeknd,After Hours,2020-03-20,canadian contemporary r&b,null,4
Blinding Lights,The Weeknd,After Hours,2020-03-20,canadian contemporary r&b,null,5
Dynamite,Taio Cruz,The Rokstarr Hits Collection,2010-01-01,dance pop,null,6
